Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Unnamed: 10,Target,mass_frac
Actinium,,Ac,7440-34-8,227.0,silv metal; cub,1050,3198,10,,,Ac,1.0
Actinium bromide,Actinium tribromide,AcBr3,33689-81-5,467.0,wh hex cry,,800 subl,5.85,,,Ac,0.486411805124
Actinium bromide,Actinium tribromide,AcBr3,33689-81-5,467.0,wh hex cry,,800 subl,5.85,,,Br,0.513588194876
Actinium chloride,Actinium trichloride,AcCl3,22986-54-5,333.0,wh hex cry,,960 subl,4.81,,,Ac,0.68097407605
Actinium chloride,Actinium trichloride,AcCl3,22986-54-5,333.0,wh hex cry,,960 subl,4.81,,,Cl,0.31902592395
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,,Ac,0.799328829916
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,,F,0.200671170084
Actinium iodide,Actinium triiodide,AcI3,33689-82-6,608.0,wh cry,,,,,,Ac,0.37355988638
Actinium iodide,Actinium triiodide,AcI3,33689-82-6,608.0,wh cry,,,,,,I,0.62644011362
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,,Ac,0.904396263666
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,,O,0.0956037363341
Aluminum,,Al,7429-90-5,26.982,silv-wh metal; cub cry,660.32,2519,2.7,,,Al,1.0
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,Al,0.132188833988
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,C,0.353059279216
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,H,0.0444431927232
Aluminum acetate,Aluminum triacetate,Al(C2H3O2)3,139-12-8,204.113,wh hyg solid,dec,,,,,O,0.470308694072
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,Al,0.113776449025
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,H,0.0170012297268
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,N,0.059063814417
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,O,0.539733466061
Aluminum ammonium sulfate,Ammonium alum,AlNH4(SO4)2,7784-25-0,237.146,wh powder,,,,,,S,0.270425040771
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,Al,0.0595187267339
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,H,0.062255773356
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,N,0.0308974577804
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,O,0.705863316858
Aluminum ammonium sulfate dodecahydrate,Tschernigite,AlNH4(SO4)2+12H2O,7784-26-1,453.329,col cry or powder,94.5,>280 dec,1.65,,,S,0.141464725271
Aluminum antimonide,,AlSb,25152-52-7,148.742,brn cub cry,1065,,4.26,,,Al,0.181398813364
Aluminum antimonide,,AlSb,25152-52-7,148.742,brn cub cry,1065,,4.26,,,Sb,0.818601186636
Aluminum arsenide,,AlAs,22831-42-1,101.903,oran cub cry; hyg,1740,,3.76,,,Al,0.264776325545
Aluminum arsenide,,AlAs,22831-42-1,101.903,oran cub cry; hyg,1740,,3.76,,,As,0.735223674455
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,Al,0.394549490579
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,B,0.0790443162987
Aluminum borate,Eremeyevite,2Al2O3+B2O3,11121-16-7,273.543,needles,≈1050,,,,,O,0.526406193123
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,Al,0.377312362529
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,B,0.453546109261
Aluminum borohydride,Aluminum tetrahydroborate,Al(BH4)3,16962-07-5,71.51,flam liq,-64.5,44.5,,,,H,0.16914152821
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,Al,0.0471025314507
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,Br,0.418472874602
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,H,0.0316726734
Aluminum bromate nonahydrate,,Al(BrO3)3+9H2O,11126-81-1*,572.826,wh hyg cry,62,>100 dec,,,,O,0.502751920547
Aluminum bromide,Aluminum tribromide,AlBr3,7727-15-3,266.694,wh-yel monocl cry; hyg,97.5,255,3.2,,,Al,0.101170574816
Aluminum bromide,Aluminum tribromide,AlBr3,7727-15-3,266.694,wh-yel monocl cry; hyg,97.5,255,3.2,,,Br,0.898829425184
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,Al,0.0719920030485
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,Br,0.639598330199
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,H,0.032272564124
Aluminum bromide hexahydrate,,AlBr3+6H2O,7784-11-04 00:00:00,374.785,col-yel hyg cry,93,,2.54,,,O,0.256137102628
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,,Al,0.749704522674
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,,C,0.250295477326
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,Al,0.0613952610521
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,Cl,0.242015055814
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,H,0.041283387362
Aluminum chlorate nonahydrate,Mallebrin,Al(ClO3)3+9H2O,15477-33-5,439.473,hyg cry,,,,,,O,0.655306295771
Aluminum chloride,Aluminum trichloride,AlCl3,7446-70-0,133.341,wh hex cry or powder; hyg,192.6,180 sp,2.48,45.125,,Al,0.202350604575
Aluminum chloride,Aluminum trichloride,AlCl3,7446-70-0,133.341,wh hex cry or powder; hyg,192.6,180 sp,2.48,45.125,,Cl,0.797649395425
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,Al,0.111756163931
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,Cl,0.44053358171
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,H,0.0500980360871
Aluminum chloride hexahydrate,Aluminum trichloride hexahydrate,AlCl3+6H2O,7784-13-6,241.432,col hyg cry,100 dec,,2.398,45.125,,O,0.397612218273
Aluminum diacetate,Aluminum subacetate,Al(OH)(C2H3O2)2,142-03-0,162.078,wh amorp powder,,,,,,Al,0.166473664684
Aluminum diacetate,Aluminum subacetate,Al(OH)(C2H3O2)2,142-03-0,162.078,wh amorp powder,,,,,,C,0.296419751899
Aluminum diacetate,Aluminum subacetate,Al(OH)(C2H3O2)2,142-03-0,162.078,wh amorp powder,,,,,,H,0.0435322935613
Aluminum diacetate,Aluminum subacetate,Al(OH)(C2H3O2)2,142-03-0,162.078,wh amorp powder,,,,,,O,0.493574289856
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,,Al,0.555135271571
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,,B,0.444864728429
Aluminum distearate,Hydroxyaluminum distearate,Al(OH)(C18H35O2)2,300-92-5,610.928,wh pow,145,,,,,Al,0.0441648797036
Aluminum distearate,Hydroxyaluminum distearate,Al(OH)(C18H35O2)2,300-92-5,610.928,wh pow,145,,,,,C,0.707752090299
Aluminum distearate,Hydroxyaluminum distearate,Al(OH)(C18H35O2)2,300-92-5,610.928,wh pow,145,,,,,H,0.117139501016
Aluminum distearate,Hydroxyaluminum distearate,Al(OH)(C18H35O2)2,300-92-5,610.928,wh pow,145,,,,,O,0.130943528982
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,,Al,0.172171076226
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,,B,0.827828923774
Aluminum ethanolate,Aluminum ethoxide,Al(C2H5O)3,555-75-9,162.163,"liq, condenses to wh solid",140,,,,,Al,0.166385255438
Aluminum ethanolate,Aluminum ethoxide,Al(C2H5O)3,555-75-9,162.163,"liq, condenses to wh solid",140,,,,,C,0.444393498186
Aluminum ethanolate,Aluminum ethoxide,Al(C2H5O)3,555-75-9,162.163,"liq, condenses to wh solid",140,,,,,H,0.0932339460985
Aluminum ethanolate,Aluminum ethoxide,Al(C2H5O)3,555-75-9,162.163,"liq, condenses to wh solid",140,,,,,O,0.295987300277
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,,Al,0.321297730364
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,,F,0.678702269636
Aluminum fluoride monohydrate,Fluellite,AlF3+H2O,32287-65-3,101.992,orth cry,,,2.17,0.5025,,Al,0.264545563768
Aluminum fluoride monohydrate,Fluellite,AlF3+H2O,32287-65-3,101.992,orth cry,,,2.17,0.5025,,F,0.558820239247
Aluminum fluoride monohydrate,Fluellite,AlF3+H2O,32287-65-3,101.992,orth cry,,,2.17,0.5025,,H,0.0197650741492
Aluminum fluoride monohydrate,Fluellite,AlF3+H2O,32287-65-3,101.992,orth cry,,,2.17,0.5025,,O,0.156869122836
Aluminum fluoride trihydrate,,AlF3+3H2O,15098-87-0,138.023,wh hyg cry,,,1.914,0.5025,,Al,0.195486397929
Aluminum fluoride trihydrate,,AlF3+3H2O,15098-87-0,138.023,wh hyg cry,,,1.914,0.5025,,F,0.412941173929
Aluminum fluoride trihydrate,,AlF3+3H2O,15098-87-0,138.023,wh hyg cry,,,1.914,0.5025,,H,0.0438163062936
Aluminum fluoride trihydrate,,AlF3+3H2O,15098-87-0,138.023,wh hyg cry,,,1.914,0.5025,,O,0.347756121849
Aluminum hexafluorosilicate nonahydrate,,Al2(SiF6)3+9H2O,17099-70-6,642.329,hex prisms,>500 dec,,,,,Al,0.0840116691047
Aluminum hexafluorosilicate nonahydrate,,Al2(SiF6)3+9H2O,17099-70-6,642.329,hex prisms,>500 dec,,,,,F,0.532393214537
Aluminum hexafluorosilicate nonahydrate,,Al2(SiF6)3+9H2O,17099-70-6,642.329,hex prisms,>500 dec,,,,,H,0.02824555364
Aluminum hexafluorosilicate nonahydrate,,Al2(SiF6)3+9H2O,17099-70-6,642.329,hex prisms,>500 dec,,,,,O,0.22417599803
Aluminum hexafluorosilicate nonahydrate,,Al2(SiF6)3+9H2O,17099-70-6,642.329,hex prisms,>500 dec,,,,,Si,0.131173564689
Aluminum hydride,,AlH3,7784-21-6,30.006,col hex cry,>150 dec,,,,,Al,0.899224000609
Aluminum hydride,,AlH3,7784-21-6,30.006,col hex cry,>150 dec,,,,,H,0.100775999391
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,,Al,0.345901380453
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,,H,0.0387651544913
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,,O,0.615333465056
Aluminum hydroxychloride,Aluminum chlorohydroxide,Al2(OH)5Cl+2H2O,1327-41-9,210.483,gl solid,,,,,,Al,0.25637695562
Aluminum hydroxychloride,Aluminum chlorohydroxide,Al2(OH)5Cl+2H2O,1327-41-9,210.483,gl solid,,,,,,Cl,0.168436135951
Aluminum hydroxychloride,Aluminum chlorohydroxide,Al2(OH)5Cl+2H2O,1327-41-9,210.483,gl solid,,,,,,H,0.0430982334311
Aluminum hydroxychloride,Aluminum chlorohydroxide,Al2(OH)5Cl+2H2O,1327-41-9,210.483,gl solid,,,,,,O,0.532088674998
Aluminum hypophosphite,,Al(H2PO2)3,7784-22-7,221.948,cry powder,220 dec,,,,,Al,0.121567559193
Aluminum hypophosphite,,Al(H2PO2)3,7784-22-7,221.948,cry powder,220 dec,,,,,H,0.0272481434279
Aluminum hypophosphite,,Al(H2PO2)3,7784-22-7,221.948,cry powder,220 dec,,,,,O,0.432519739231
Aluminum hypophosphite,,Al(H2PO2)3,7784-22-7,221.948,cry powder,220 dec,,,,,P,0.418664558148
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,,Al,0.0661807037165
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,,I,0.933819296284
Aluminum iodide hexahydrate,Aluminum triiodide hexahydrate,AlI3+6H2O,10090-53-6,515.786,yel hyg cry powder,,,,,,Al,0.0523114348141
Aluminum iodide hexahydrate,Aluminum triiodide hexahydrate,AlI3+6H2O,10090-53-6,515.786,yel hyg cry powder,,,,,,H,0.0234501620037
Aluminum iodide hexahydrate,Aluminum triiodide hexahydrate,AlI3+6H2O,10090-53-6,515.786,yel hyg cry powder,,,,,,I,0.73812190718
Aluminum iodide hexahydrate,Aluminum triiodide hexahydrate,AlI3+6H2O,10090-53-6,515.786,yel hyg cry powder,,,,,,O,0.186116496003
Aluminum lactate,Aluctyl,Al(C3H5O3)3,18917-91-4,294.192,powder,,,,,,Al,0.0917141897704
Aluminum lactate,Aluctyl,Al(C3H5O3)3,18917-91-4,294.192,powder,,,,,,C,0.367435108822
Aluminum lactate,Aluctyl,Al(C3H5O3)3,18917-91-4,294.192,powder,,,,,,H,0.0513920287169
Aluminum lactate,Aluctyl,Al(C3H5O3)3,18917-91-4,294.192,powder,,,,,,O,0.489458672691
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,,Al,0.102242523363
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,,O,0.54564609798
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,,P,0.352111378657
Aluminum molybdate,Aluminum molybdenum oxide,Al2(MoO4)3,15123-80-5,533.78,wh pow,≈950,,,,,Al,0.101096882615
Aluminum molybdate,Aluminum molybdenum oxide,Al2(MoO4)3,15123-80-5,533.78,wh pow,≈950,,,,,Mo,0.539215075641
Aluminum molybdate,Aluminum molybdenum oxide,Al2(MoO4)3,15123-80-5,533.78,wh pow,≈950,,,,,O,0.359688041744
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,,Al,0.0783287067735
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,,C,0.62761753594
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,,H,0.108265640496
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,,O,0.185788116791
Aluminum nitrate,,Al(NO3)3,13473-90-0,212.997,wh hyg solid,dec,,,68.925,,Al,0.126676127134
Aluminum nitrate,,Al(NO3)3,13473-90-0,212.997,wh hyg solid,dec,,,68.925,,N,0.197280948604
Aluminum nitrate,,Al(NO3)3,13473-90-0,212.997,wh hyg solid,dec,,,68.925,,O,0.676042924262
Aluminum nitrate nonahydrate,,Al(NO3)3+9H2O,7784-27-2,375.134,wh hyg monocl cry,73,135 dec,1.72,68.925,,Al,0.0719251146596
Aluminum nitrate nonahydrate,,Al(NO3)3+9H2O,7784-27-2,375.134,wh hyg monocl cry,73,135 dec,1.72,68.925,,H,0.0483638691109
Aluminum nitrate nonahydrate,,Al(NO3)3+9H2O,7784-27-2,375.134,wh hyg monocl cry,73,135 dec,1.72,68.925,,N,0.112013645897
Aluminum nitrate nonahydrate,,Al(NO3)3+9H2O,7784-27-2,375.134,wh hyg monocl cry,73,135 dec,1.72,68.925,,O,0.767697370332
Aluminum nitride,,AlN,24304-00-5,40.989,blue-wh hex cry,3000,,3.255,,,Al,0.658275142372
Aluminum nitride,,AlN,24304-00-5,40.989,blue-wh hex cry,3000,,3.255,,,N,0.341724857628
Aluminum oleate,Aluminum trioleate,Al(C18H33O2)3,688-37-9,871.342,yel solid,,,,,,Al,0.0309655047461
Aluminum oleate,Aluminum trioleate,Al(C18H33O2)3,688-37-9,871.342,yel solid,,,,,,C,0.744343724864
Aluminum oleate,Aluminum trioleate,Al(C18H33O2)3,688-37-9,871.342,yel solid,,,,,,H,0.114519996814
Aluminum oleate,Aluminum trioleate,Al(C18H33O2)3,688-37-9,871.342,yel solid,,,,,,O,0.110170773575
Aluminum oxalate monohydrate,,Al2(C2O4)3+H2O,814-87-9,336.035,wh pow,,,,,,Al,0.160587497844
Aluminum oxalate monohydrate,,Al2(C2O4)3+H2O,814-87-9,336.035,wh pow,,,,,,C,0.214454218748
Aluminum oxalate monohydrate,,Al2(C2O4)3+H2O,814-87-9,336.035,wh pow,,,,,,H,0.00599901158258
Aluminum oxalate monohydrate,,Al2(C2O4)3+H2O,814-87-9,336.035,wh pow,,,,,,O,0.618959271825
Aluminum oxide (α),Corundum,Al2O3,1344-28-1,101.961,wh powder; hex,2054,2977,3.99,,,Al,0.529250698715
Aluminum oxide (α),Corundum,Al2O3,1344-28-1,101.961,wh powder; hex,2054,2977,3.99,,,O,0.470749301285
Aluminum oxide (γ),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,,Al,0.529250698715
Aluminum oxide (γ),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,,O,0.470749301285
Aluminum oxyhydroxide,Boehmite,AlO(OH),1318-23-6,59.989,wh orth cry,trans to diasphore 227,,3.07,,,Al,0.449780177556
Aluminum oxyhydroxide,Boehmite,AlO(OH),1318-23-6,59.989,wh orth cry,trans to diasphore 227,,3.07,,,H,0.0168022824379
Aluminum oxyhydroxide,Boehmite,AlO(OH),1318-23-6,59.989,wh orth cry,trans to diasphore 227,,3.07,,,O,0.533417540006
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,,Al,0.449780177556
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,,H,0.0168022824379
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,,O,0.533417540006
Aluminum palmitate,Aluminum hexadecanoate,Al(C15H31COO)3,555-35-1,793.23,wh-yel powder,,,,,,Al,0.0340147750441
Aluminum palmitate,Aluminum hexadecanoate,Al(C15H31COO)3,555-35-1,793.23,wh-yel powder,,,,,,C,0.726792519306
Aluminum palmitate,Aluminum hexadecanoate,Al(C15H31COO)3,555-35-1,793.23,wh-yel powder,,,,,,H,0.118173070726
Aluminum palmitate,Aluminum hexadecanoate,Al(C15H31COO)3,555-35-1,793.23,wh-yel powder,,,,,,O,0.121019634923
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,,Al,0.0831979887478
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,,C,0.55552766927
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,,H,0.0652679679411
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,,O,0.296006374041
Aluminum perchlorate,,Al(ClO4)3,14452-39-2,325.334,wh hyg cry,,,,550.0,,Al,0.0829350558295
Aluminum perchlorate,,Al(ClO4)3,14452-39-2,325.334,wh hyg cry,,,,550.0,,Cl,0.326923150445
Aluminum perchlorate,,Al(ClO4)3,14452-39-2,325.334,wh hyg cry,,,,550.0,,O,0.590141793725
Aluminum perchlorate nonahydrate,,Al(ClO4)3+9H2O,14452-39-2,487.471,wh hyg cry,82 dec,,2,182.4,,Al,0.0553500545191
Aluminum perchlorate nonahydrate,,Al(ClO4)3+9H2O,14452-39-2,487.471,wh hyg cry,82 dec,,2,182.4,,Cl,0.218185350208
Aluminum perchlorate nonahydrate,,Al(ClO4)3+9H2O,14452-39-2,487.471,wh hyg cry,82 dec,,2,182.4,,H,0.037218470971
Aluminum perchlorate nonahydrate,,Al(ClO4)3+9H2O,14452-39-2,487.471,wh hyg cry,82 dec,,2,182.4,,O,0.689246124302
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,,Al,0.221245566668
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,,O,0.524773086045
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,,P,0.253981347287
Aluminum phosphate dihydrate,,AlPO4+2H2O,13477-75-3,157.984,wh rhom cry,dec 1500,,2.54,,,Al,0.170787109597
Aluminum phosphate dihydrate,,AlPO4+2H2O,13477-75-3,157.984,wh rhom cry,dec 1500,,2.54,,,H,0.0255201397962
Aluminum phosphate dihydrate,,AlPO4+2H2O,13477-75-3,157.984,wh rhom cry,dec 1500,,2.54,,,O,0.607635759056
Aluminum phosphate dihydrate,,AlPO4+2H2O,13477-75-3,157.984,wh rhom cry,dec 1500,,2.54,,,P,0.196056991551
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,,Al,0.269874138679
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,,H,0.0151223922053
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,,O,0.560100936214
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,,P,0.154902532901
Aluminum phosphide,Celphos,AlP,20859-73-8,57.956,grn or yel cub cry,2550,,2.4,,,Al,0.465557737095
Aluminum phosphide,Celphos,AlP,20859-73-8,57.956,grn or yel cub cry,2550,,2.4,,,P,0.534442262905
Aluminum selenide,,Al2Se3,1302-82-5,290.84,yel-brown powder,960,,3.437,,,Al,0.185540181047
Aluminum selenide,,Al2Se3,1302-82-5,290.84,yel-brown powder,960,,3.437,,,Se,0.814459818953
Aluminum silicate,Andalusite,Al2SiO5,12183-80-1,162.046,gray-grn cry,,,3.145,,,Al,0.333011725049
Aluminum silicate,Andalusite,Al2SiO5,12183-80-1,162.046,gray-grn cry,,,3.145,,,O,0.493669752561
Aluminum silicate,Andalusite,Al2SiO5,12183-80-1,162.046,gray-grn cry,,,3.145,,,Si,0.173318522389
Aluminum silicate,Sillimanite,Al2SiO5,12141-45-6,162.046,wh orth cry,1816,,3.25,,,Al,0.333011725049
Aluminum silicate,Sillimanite,Al2SiO5,12141-45-6,162.046,wh orth cry,1816,,3.25,,,O,0.493669752561
Aluminum silicate,Sillimanite,Al2SiO5,12141-45-6,162.046,wh orth cry,1816,,3.25,,,Si,0.173318522389
Aluminum silicate,Mullite,3Al2O3+2SiO2,1302-93-8,426.052,col orth cry,1750,,3.17,,,Al,0.37997490354
Aluminum silicate,Mullite,3Al2O3+2SiO2,1302-93-8,426.052,col orth cry,1750,,3.17,,,O,0.488184515739
Aluminum silicate,Mullite,3Al2O3+2SiO2,1302-93-8,426.052,col orth cry,1750,,3.17,,,Si,0.131840580722
Aluminum silicate,Kyanite,Al2SiO5,1302-76-7,162.046,blue or gray tricl cry,dec 1000,,3.68,,,Al,0.333011725049
Aluminum silicate,Kyanite,Al2SiO5,1302-76-7,162.046,blue or gray tricl cry,dec 1000,,3.68,,,O,0.493669752561
Aluminum silicate,Kyanite,Al2SiO5,1302-76-7,162.046,blue or gray tricl cry,dec 1000,,3.68,,,Si,0.173318522389
Aluminum silicate dihydrate,Kaolinite,Al2O3+2SiO2+2H2O,1332-58-7,258.161,wh-yel powder; tricl,,,2.59,,,Al,0.209029229208
Aluminum silicate dihydrate,Kaolinite,Al2O3+2SiO2+2H2O,1332-58-7,258.161,wh-yel powder; tricl,,,2.59,,,H,0.0156172651539
Aluminum silicate dihydrate,Kaolinite,Al2O3+2SiO2+2H2O,1332-58-7,258.161,wh-yel powder; tricl,,,2.59,,,O,0.557771754502
Aluminum silicate dihydrate,Kaolinite,Al2O3+2SiO2+2H2O,1332-58-7,258.161,wh-yel powder; tricl,,,2.59,,,Si,0.217581751136
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,,Al,0.030752066771
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,,C,0.739213137823
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,,H,0.120623403182
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,,O,0.109411392224
Aluminum sulfate,Alunogenite,Al2(SO4)3,10043-01-3,342.151,wh cry,1040 dec,,,38.525,,Al,0.157717196699
Aluminum sulfate,Alunogenite,Al2(SO4)3,10043-01-3,342.151,wh cry,1040 dec,,,38.525,,O,0.561134905078
Aluminum sulfate,Alunogenite,Al2(SO4)3,10043-01-3,342.151,wh cry,1040 dec,,,38.525,,S,0.281147898223
Aluminum sulfate octadecahydrate,Alunogen,Al2(SO4)3+18H2O,7784-31-8,666.426,col monocl cry,86 dec,,1.69,38.525,,Al,0.0809738574195
Aluminum sulfate octadecahydrate,Alunogen,Al2(SO4)3+18H2O,7784-31-8,666.426,col monocl cry,86 dec,,1.69,38.525,,H,0.0544484226431
Aluminum sulfate octadecahydrate,Alunogen,Al2(SO4)3+18H2O,7784-31-8,666.426,col monocl cry,86 dec,,1.69,38.525,,O,0.7202330936
Aluminum sulfate octadecahydrate,Alunogen,Al2(SO4)3+18H2O,7784-31-8,666.426,col monocl cry,86 dec,,1.69,38.525,,S,0.144344626338
