Name,Synonym,Formula,CAS,MW,form,Melting point,Boiling point,density,Solubility in 100 mL of water,Target,mass_frac
Actinium,,Ac,7440-34-8,227.0,silv metal; cub,1050,3198,10,,Ac,1.0
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,Ac,0.799328829916
Actinium fluoride,Actinium trifluoride,AcF3,33689-80-4,284.0,wh hex cry,,,7.88,,F,0.200671170084
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,Ac,0.904396263666
Actinium oxide,,Ac2O3,12002-61-8,502.0,wh hex cry,1977,,9.19,,O,0.0956037363341
Aluminum,,Al,7429-90-5,26.982,silv-wh metal; cub cry,660.32,2519,2.7,,Al,1.0
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,Al,0.749704522674
Aluminum carbide,,Al4C3,1299-86-1,143.958,yel hex cry,2100,>2200 dec,2.36,,C,0.250295477326
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,Al,0.555135271571
Aluminum diboride,,AlB2,12041-50-8,48.604,powder,>920 dec,,3.19,,B,0.444864728429
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,Al,0.172171076226
Aluminum dodecaboride,,AlB12,12041-54-2,156.714,yel-brn prisms,2070,,2.55,,B,0.827828923774
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,Al,0.321297730364
Aluminum fluoride,Aluminum trifluoride,AlF3,7784-18-1,83.977,wh hex cry,2250 tp (220 MPa),1276 sp,3.1,0.5025,F,0.678702269636
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,Al,0.345901380453
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,H,0.0387651544913
Aluminum hydroxide,Bayerite,Al(OH)3,21645-51-2,78.004,wh amorp powder,,,2.42,,O,0.615333465056
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,Al,0.0661807037165
Aluminum iodide,Aluminum triiodide,AlI3,7784-23-8,407.695,wh leaflets,188.28,382,3.98,,I,0.933819296284
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,Al,0.102242523363
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,O,0.54564609798
Aluminum metaphosphate,,Al(PO3)3,32823-06-6,263.898,col powder; tetr,≈1525,,2.78,,P,0.352111378657
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,Al,0.0783287067735
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,C,0.62761753594
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,H,0.108265640496
Aluminum monostearate,,Al(OH)2(C18H35O2),7047-84-9,344.467,yel-wh pow,155,,1.02,,O,0.185788116791
Aluminum nitride,,AlN,24304-00-5,40.989,blue-wh hex cry,3000,,3.255,,Al,0.658275142372
Aluminum nitride,,AlN,24304-00-5,40.989,blue-wh hex cry,3000,,3.255,,N,0.341724857628
Aluminum oxide (γ),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,Al,0.529250698715
Aluminum oxide (γ),Activated alumina,Al2O3,1344-28-1,101.961,soft wh pow,trans corundum 1200,,3.97,,O,0.470749301285
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,Al,0.449780177556
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,H,0.0168022824379
Aluminum oxyhydroxide,Diaspore,AlO(OH),14457-84-2,59.989,orth cry,dec 450,,3.38,,O,0.533417540006
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,Al,0.0831979887478
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,C,0.55552766927
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,H,0.0652679679411
"Aluminum 2,4-pentanedioate",Aluminum acetylacetonate,Al(CH3COCHCOCH3)3,13963-57-0,324.306,pale yel prisms,194.6,315,1.27,,O,0.296006374041
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,Al,0.221245566668
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,O,0.524773086045
Aluminum phosphate,Aluminum orthophosphate,AlPO4,7784-30-7,121.953,wh rhomb plates,>1460,,2.56,,P,0.253981347287
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,Al,0.269874138679
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,H,0.0151223922053
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,O,0.560100936214
Aluminum phosphate trihydroxide,Angelite,Al2(OH)3PO4,12004-29-4,199.957,wh or yel monocl cry,,,2.7,,P,0.154902532901
Aluminum phosphide,Celphos,AlP,20859-73-8,57.956,grn or yel cub cry,2550,,2.4,,Al,0.465557737095
Aluminum phosphide,Celphos,AlP,20859-73-8,57.956,grn or yel cub cry,2550,,2.4,,P,0.534442262905
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,Al,0.030752066771
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,C,0.739213137823
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,H,0.120623403182
Aluminum stearate,Aluminum tristearate,Al(C18H35O2)3,637-12-7,877.39,wh powder,115,,1.07,,O,0.109411392224
Aluminum sulfide,,Al2S3,1302-81-4,150.158,yel-gray powder,1100,,2.02,,Al,0.359375121247
Aluminum sulfide,,Al2S3,1302-81-4,150.158,yel-gray powder,1100,,2.02,,S,0.640624878753
Americium,,Am,7440-35-9,243.0,silv metal; hex or cub,1176,2011,12,,Am,1.0
Americium(III) fluoride,Americium trifluoride,AmF3,13708-80-0,300.0,pink hex cry,1393,,9.53,,Am,0.81005181097
Americium(III) fluoride,Americium trifluoride,AmF3,13708-80-0,300.0,pink hex cry,1393,,9.53,,F,0.18994818903
Americium(IV) fluoride,Americium tetrafluoride,AmF4,15947-41-8,319.0,tan monocl cry,,,7.23,,Am,0.761816584127
Americium(IV) fluoride,Americium tetrafluoride,AmF4,15947-41-8,319.0,tan monocl cry,,,7.23,,F,0.238183415873
Americium(III) iodide,Americium triiodide,AmI3,13813-47-3,624.0,yel ortho cry,≈950,,6.9,,Am,0.389662096166
Americium(III) iodide,Americium triiodide,AmI3,13813-47-3,624.0,yel ortho cry,≈950,,6.9,,I,0.610337903834
Americium(III) oxide,,Am2O3,12254-64-7,534.0,tan hex cry,,,11.77,,Am,0.910136092758
Americium(III) oxide,,Am2O3,12254-64-7,534.0,tan hex cry,,,11.77,,O,0.089863907242
Americium(IV) oxide,,AmO2,12005-67-3,275.0,blk cub cry,>1000 dec,,11.68,,Am,0.8836661938
Americium(IV) oxide,,AmO2,12005-67-3,275.0,blk cub cry,>1000 dec,,11.68,,O,0.1163338062
Ammonium acetate,,NH4C2H3O2,631-61-8,77.083,wh hyg cry,114,,1.073,1484.0,C,0.311632422828
Ammonium acetate,,NH4C2H3O2,631-61-8,77.083,wh hyg cry,114,,1.073,1484.0,H,0.0915328619422
Ammonium acetate,,NH4C2H3O2,631-61-8,77.083,wh hyg cry,114,,1.073,1484.0,N,0.181710552125
Ammonium acetate,,NH4C2H3O2,631-61-8,77.083,wh hyg cry,114,,1.073,1484.0,O,0.415124163104
Ammonium azide,,NH4N3,12164-94-2,60.059,orth cry; flam,160,exp,1.346,20.23,H,0.0671304806509
Ammonium azide,,NH4N3,12164-94-2,60.059,orth cry; flam,160,exp,1.346,20.23,N,0.932869519349
Ammonium benzoate,,NH4C7H5O2,1863-63-4,139.152,wh cry or powder,198,,1.26,,C,0.60419530145
Ammonium benzoate,,NH4C7H5O2,1863-63-4,139.152,wh cry or powder,198,,1.26,,H,0.0651910797312
Ammonium benzoate,,NH4C7H5O2,1863-63-4,139.152,wh cry or powder,198,,1.26,,N,0.1006576556
Ammonium benzoate,,NH4C7H5O2,1863-63-4,139.152,wh cry or powder,198,,1.26,,O,0.229955963219
Ammonium chlorate,,NH4ClO3,10192-29-7,101.49,wh cry,102 exp,,1.8,28.7,Cl,0.349326226928
Ammonium chlorate,,NH4ClO3,10192-29-7,101.49,wh cry,102 exp,,1.8,28.7,H,0.0397258203447
Ammonium chlorate,,NH4ClO3,10192-29-7,101.49,wh cry,102 exp,,1.8,28.7,N,0.138011103791
Ammonium chlorate,,NH4ClO3,10192-29-7,101.49,wh cry,102 exp,,1.8,28.7,O,0.472936848936
Ammonium cyanide,,NH4CN,12211-52-8,44.056,col tetr cry,dec,,1.1,,C,0.272624345547
Ammonium cyanide,,NH4CN,12211-52-8,44.056,col tetr cry,dec,,1.1,,H,0.0915147269852
Ammonium cyanide,,NH4CN,12211-52-8,44.056,col tetr cry,dec,,1.1,,N,0.635860927468
Ammonium dihydrogen phosphate,ADP,NH4H2PO4,7722-76-1,115.026,wh tetr cry,190,,1.8,40.425,H,0.052576423311
Ammonium dihydrogen phosphate,ADP,NH4H2PO4,7722-76-1,115.026,wh tetr cry,190,,1.8,40.425,N,0.121770176199
Ammonium dihydrogen phosphate,ADP,NH4H2PO4,7722-76-1,115.026,wh tetr cry,190,,1.8,40.425,O,0.556376521832
Ammonium dihydrogen phosphate,ADP,NH4H2PO4,7722-76-1,115.026,wh tetr cry,190,,1.8,40.425,P,0.269276878658
Ammonium dithiocarbamate,Ammonium sulfocarbamate,NH4NH2CSS,513-74-6,110.202,yel ortho cry,99 dec,,1.45,,C,0.108988297281
Ammonium dithiocarbamate,Ammonium sulfocarbamate,NH4NH2CSS,513-74-6,110.202,yel ortho cry,99 dec,,1.45,,H,0.0548778993871
Ammonium dithiocarbamate,Ammonium sulfocarbamate,NH4NH2CSS,513-74-6,110.202,yel ortho cry,99 dec,,1.45,,N,0.254201067969
Ammonium dithiocarbamate,Ammonium sulfocarbamate,NH4NH2CSS,513-74-6,110.202,yel ortho cry,99 dec,,1.45,,S,0.581932735363
Ammonium fluoride,,NH4F,12125-01-8,37.037,wh hex cry; hyg,238,,1.015,83.525,F,0.512959294026
Ammonium fluoride,,NH4F,12125-01-8,37.037,wh hex cry; hyg,238,,1.015,83.525,H,0.108858030936
Ammonium fluoride,,NH4F,12125-01-8,37.037,wh hex cry; hyg,238,,1.015,83.525,N,0.378182675038
Ammonium formate,,NH4CHO2,540-69-2,63.057,hyg cry,116,,1.27,14320.0,C,0.190477021183
Ammonium formate,,NH4CHO2,540-69-2,63.057,hyg cry,116,,1.27,14320.0,H,0.0799243211182
Ammonium formate,,NH4CHO2,540-69-2,63.057,hyg cry,116,,1.27,14320.0,N,0.222131473819
Ammonium formate,,NH4CHO2,540-69-2,63.057,hyg cry,116,,1.27,14320.0,O,0.50746718388
Ammonium hexachloropalladate(IV),,(NH4)2PdCl6,19168-23-1,355.22,red-brn hyg cry,dec,,2.418,,Cl,0.598843089136
Ammonium hexachloropalladate(IV),,(NH4)2PdCl6,19168-23-1,355.22,red-brn hyg cry,dec,,2.418,,H,0.0227003978324
Ammonium hexachloropalladate(IV),,(NH4)2PdCl6,19168-23-1,355.22,red-brn hyg cry,dec,,2.418,,N,0.0788632414427
Ammonium hexachloropalladate(IV),,(NH4)2PdCl6,19168-23-1,355.22,red-brn hyg cry,dec,,2.418,,Pd,0.299593271589
Ammonium hexafluorogallate,,(NH4)3GaF6,14639-94-2,237.828,col cub cry,>200 dec,,2.1,,F,0.479296113774
Ammonium hexafluorogallate,,(NH4)3GaF6,14639-94-2,237.828,col cub cry,>200 dec,,2.1,,Ga,0.293164663971
Ammonium hexafluorogallate,,(NH4)3GaF6,14639-94-2,237.828,col cub cry,>200 dec,,2.1,,H,0.0508570872858
Ammonium hexafluorogallate,,(NH4)3GaF6,14639-94-2,237.828,col cub cry,>200 dec,,2.1,,N,0.17668213497
Ammonium hexafluorophosphate,,NH4PF6,16941-11-0,163.003,wh cub cry,58 dec,,2.18,,F,0.699316393654
Ammonium hexafluorophosphate,,NH4PF6,16941-11-0,163.003,wh cub cry,58 dec,,2.18,,H,0.0247343231393
Ammonium hexafluorophosphate,,NH4PF6,16941-11-0,163.003,wh cub cry,58 dec,,2.18,,N,0.0859292824759
Ammonium hexafluorophosphate,,NH4PF6,16941-11-0,163.003,wh cub cry,58 dec,,2.18,,P,0.190020000731
Ammonium hydrogen carbonate,Ammonium bicarbonate,NH4HCO3,1066-33-7,79.056,col or wh prisms,107 dec,,1.586,24.825,C,0.151927827736
Ammonium hydrogen carbonate,Ammonium bicarbonate,NH4HCO3,1066-33-7,79.056,col or wh prisms,107 dec,,1.586,24.825,H,0.0637490465535
Ammonium hydrogen carbonate,Ammonium bicarbonate,NH4HCO3,1066-33-7,79.056,col or wh prisms,107 dec,,1.586,24.825,N,0.177175976816
Ammonium hydrogen carbonate,Ammonium bicarbonate,NH4HCO3,1066-33-7,79.056,col or wh prisms,107 dec,,1.586,24.825,O,0.607147148895
Ammonium hydrogen citrate,Diammonium citrate,(NH4)2HC6H5O7,3012-65-5,226.184,col cry,,,1.48,,C,0.318607954495
Ammonium hydrogen citrate,Diammonium citrate,(NH4)2HC6H5O7,3012-65-5,226.184,col cry,,,1.48,,H,0.0623878128551
Ammonium hydrogen citrate,Diammonium citrate,(NH4)2HC6H5O7,3012-65-5,226.184,col cry,,,1.48,,N,0.123851955235
Ammonium hydrogen citrate,Diammonium citrate,(NH4)2HC6H5O7,3012-65-5,226.184,col cry,,,1.48,,O,0.495152277415
Ammonium hydrogen fluoride,Ammonium bifluoride,NH4HF2,1341-49-7,57.044,wh orth cry,125,240 dec,1.5,60.22,F,0.666105725782
Ammonium hydrogen fluoride,Ammonium bifluoride,NH4HF2,1341-49-7,57.044,wh orth cry,125,240 dec,1.5,60.22,H,0.0883488204478
Ammonium hydrogen fluoride,Ammonium bifluoride,NH4HF2,1341-49-7,57.044,wh orth cry,125,240 dec,1.5,60.22,N,0.24554545377
Ammonium hydrogen malate,,NH4C4H5O5,5972-71-4,151.118,orth cry,160,,1.15,,C,0.317915885048
Ammonium hydrogen malate,,NH4C4H5O5,5972-71-4,151.118,orth cry,160,,1.15,,H,0.0600289998621
Ammonium hydrogen malate,,NH4C4H5O5,5972-71-4,151.118,orth cry,160,,1.15,,N,0.092687196148
Ammonium hydrogen malate,,NH4C4H5O5,5972-71-4,151.118,orth cry,160,,1.15,,O,0.529367918942
Ammonium hydrogen phosphate,"Ammonium phosphate, dibasic",(NH4)2HPO4,7783-28-0,132.055,wh cry,155 dec,,1.619,69.525,H,0.0686939234109
Ammonium hydrogen phosphate,"Ammonium phosphate, dibasic",(NH4)2HPO4,7783-28-0,132.055,wh cry,155 dec,,1.619,69.525,N,0.212132374952
Ammonium hydrogen phosphate,"Ammonium phosphate, dibasic",(NH4)2HPO4,7783-28-0,132.055,wh cry,155 dec,,1.619,69.525,O,0.484623889967
Ammonium hydrogen phosphate,"Ammonium phosphate, dibasic",(NH4)2HPO4,7783-28-0,132.055,wh cry,155 dec,,1.619,69.525,P,0.23454981167
Ammonium hydrogen selenate,,NH4HSeO4,10294-60-7,162.01,rhom cry,dec,,2.162,,H,0.0311084911484
Ammonium hydrogen selenate,,NH4HSeO4,10294-60-7,162.01,rhom cry,dec,,2.162,,N,0.0864589763216
Ammonium hydrogen selenate,,NH4HSeO4,10294-60-7,162.01,rhom cry,dec,,2.162,,O,0.395037159576
Ammonium hydrogen selenate,,NH4HSeO4,10294-60-7,162.01,rhom cry,dec,,2.162,,Se,0.487395372954
Ammonium hydrogen sulfate,Ammonium bisulfate,NH4HSO4,7803-63-6,115.11,wh hyg cry,147,,1.78,10020.0,H,0.0437819805576
Ammonium hydrogen sulfate,Ammonium bisulfate,NH4HSO4,7803-63-6,115.11,wh hyg cry,147,,1.78,10020.0,N,0.121682057876
Ammonium hydrogen sulfate,Ammonium bisulfate,NH4HSO4,7803-63-6,115.11,wh hyg cry,147,,1.78,10020.0,O,0.555973902996
Ammonium hydrogen sulfate,Ammonium bisulfate,NH4HSO4,7803-63-6,115.11,wh hyg cry,147,,1.78,10020.0,S,0.278562058571
Ammonium hydrogen sulfide,Ammonium bisulfide,NH4HS,12124-99-1,51.112,wh tetr or orth cry,dec,,1.17,1280.0,H,0.0986022687698
Ammonium hydrogen sulfide,Ammonium bisulfide,NH4HS,12124-99-1,51.112,wh tetr or orth cry,dec,,1.17,1280.0,N,0.274042581498
Ammonium hydrogen sulfide,Ammonium bisulfide,NH4HS,12124-99-1,51.112,wh tetr or orth cry,dec,,1.17,1280.0,S,0.627355149732
Ammonium hydrogen sulfite,Ammonium bisulfite,NH4HSO3,10192-30-0,99.11,col cry,dec,,2.03,71.8,H,0.0508497663193
Ammonium hydrogen sulfite,Ammonium bisulfite,NH4HSO3,10192-30-0,99.11,col cry,dec,,2.03,71.8,N,0.141325361014
Ammonium hydrogen sulfite,Ammonium bisulfite,NH4HSO3,10192-30-0,99.11,col cry,dec,,2.03,71.8,O,0.484294155158
Ammonium hydrogen sulfite,Ammonium bisulfite,NH4HSO3,10192-30-0,99.11,col cry,dec,,2.03,71.8,S,0.323530717509
Ammonium hydrogen tartrate,Ammonium bitartrate,NH4HC4H4O6,3095-65-6,167.117,wh cry,,,1.68,,C,0.28747940968
Ammonium hydrogen tartrate,Ammonium bitartrate,NH4HC4H4O6,3095-65-6,167.117,wh cry,,,1.68,,H,0.0542819728603
Ammonium hydrogen tartrate,Ammonium bitartrate,NH4HC4H4O6,3095-65-6,167.117,wh cry,,,1.68,,N,0.0838135547378
Ammonium hydrogen tartrate,Ammonium bitartrate,NH4HC4H4O6,3095-65-6,167.117,wh cry,,,1.68,,O,0.574425062722
Ammonium iodate,,NH4IO3,13446-09-8,192.941,wh powder,150,,3.3,3.8425,H,0.0208963221061
Ammonium iodate,,NH4IO3,13446-09-8,192.941,wh powder,150,,3.3,3.8425,I,0.657736740735
Ammonium iodate,,NH4IO3,13446-09-8,192.941,wh powder,150,,3.3,3.8425,N,0.0725957187045
Ammonium iodate,,NH4IO3,13446-09-8,192.941,wh powder,150,,3.3,3.8425,O,0.248771218454
Ammonium iodide,,NH4I,12027-06-4,144.943,wh tetr cry; hyg,551 dec,405 sp,2.514,17825.0,H,0.0278161894478
Ammonium iodide,,NH4I,12027-06-4,144.943,wh tetr cry; hyg,551 dec,405 sp,2.514,17825.0,I,0.875547844935
Ammonium iodide,,NH4I,12027-06-4,144.943,wh tetr cry; hyg,551 dec,405 sp,2.514,17825.0,N,0.0966359656176
Ammonium nitrate,,NH4NO3,6484-52-2,80.043,wh hyg cry; orth,169.7,dec 200-260,1.72,21325.0,H,0.0503696996228
Ammonium nitrate,,NH4NO3,6484-52-2,80.043,wh hyg cry; orth,169.7,dec 200-260,1.72,21325.0,N,0.349977812026
Ammonium nitrate,,NH4NO3,6484-52-2,80.043,wh hyg cry; orth,169.7,dec 200-260,1.72,21325.0,O,0.599652488351
Ammonium nitrite,,NH4NO2,13446-48-5,64.044,wh-yel cry,60 exp,,1.69,22125.0,H,0.0629530091518
Ammonium nitrite,,NH4NO2,13446-48-5,64.044,wh-yel cry,60 exp,,1.69,22125.0,N,0.437408929741
Ammonium nitrite,,NH4NO2,13446-48-5,64.044,wh-yel cry,60 exp,,1.69,22125.0,O,0.499638061107
Ammonium oxalate,,(NH4)2C2O4,1113-38-8,124.096,col sol,,,1.5,5.2025,C,0.193571231028
Ammonium oxalate,,(NH4)2C2O4,1113-38-8,124.096,col sol,,,1.5,5.2025,H,0.0649781233742
Ammonium oxalate,,(NH4)2C2O4,1113-38-8,124.096,col sol,,,1.5,5.2025,N,0.225739895397
Ammonium oxalate,,(NH4)2C2O4,1113-38-8,124.096,col sol,,,1.5,5.2025,O,0.5157107502
Ammonium perchlorate,,NH4ClO4,7790-98-9,117.49,wh orth cry,"dec, exp",,1.95,24.525,Cl,0.301755754961
Ammonium perchlorate,,NH4ClO4,7790-98-9,117.49,wh orth cry,"dec, exp",,1.95,24.525,H,0.0343160461068
Ammonium perchlorate,,NH4ClO4,7790-98-9,117.49,wh orth cry,"dec, exp",,1.95,24.525,N,0.119217057316
Ammonium perchlorate,,NH4ClO4,7790-98-9,117.49,wh orth cry,"dec, exp",,1.95,24.525,O,0.544711141616
Ammonium permanganate,,NH4MnO4,13446-10-1,136.975,purp rhomb cry,70 dec,,2.22,7.915,H,0.0294344686538
Ammonium permanganate,,NH4MnO4,13446-10-1,136.975,purp rhomb cry,70 dec,,2.22,7.915,Mn,0.401083438362
Ammonium permanganate,,NH4MnO4,13446-10-1,136.975,purp rhomb cry,70 dec,,2.22,7.915,N,0.102258014389
Ammonium permanganate,,NH4MnO4,13446-10-1,136.975,purp rhomb cry,70 dec,,2.22,7.915,O,0.467224078595
Ammonium peroxydisulfate,Ammonium persulfate,(NH4)2S2O8,7727-54-0,228.202,monocl cry or wh powder,dec,,1.982,83.525,H,0.0353349916294
Ammonium peroxydisulfate,Ammonium persulfate,(NH4)2S2O8,7727-54-0,228.202,monocl cry or wh powder,dec,,1.982,83.525,N,0.1227569665
Ammonium peroxydisulfate,Ammonium persulfate,(NH4)2S2O8,7727-54-0,228.202,monocl cry or wh powder,dec,,1.982,83.525,O,0.560885236298
Ammonium peroxydisulfate,Ammonium persulfate,(NH4)2S2O8,7727-54-0,228.202,monocl cry or wh powder,dec,,1.982,83.525,S,0.281022805573
Ammonium perrhenate,,NH4ReO4,13598-65-7,268.244,col powder,,,3.97,6.232,H,0.0150302490584
Ammonium perrhenate,,NH4ReO4,13598-65-7,268.244,col powder,,,3.97,6.232,N,0.0522164487685
Ammonium perrhenate,,NH4ReO4,13598-65-7,268.244,col powder,,,3.97,6.232,O,0.238580636532
Ammonium perrhenate,,NH4ReO4,13598-65-7,268.244,col powder,,,3.97,6.232,Re,0.694172665641
Ammonium picrate,Ammonium carbazoate,NH4C6H2N3O7,131-74-8,246.135,yel orth cry,exp,,1.72,,C,0.29278389485
Ammonium picrate,Ammonium carbazoate,NH4C6H2N3O7,131-74-8,246.135,yel orth cry,exp,,1.72,,H,0.0245704745748
Ammonium picrate,Ammonium carbazoate,NH4C6H2N3O7,131-74-8,246.135,yel orth cry,exp,,1.72,,N,0.227626820529
Ammonium picrate,Ammonium carbazoate,NH4C6H2N3O7,131-74-8,246.135,yel orth cry,exp,,1.72,,O,0.455018810045
Ammonium selenate,,(NH4)2SeO4,7783-21-3,179.04,wh monocl cry,dec,,2.194,11725.0,H,0.0450389120489
Ammonium selenate,,(NH4)2SeO4,7783-21-3,179.04,wh monocl cry,dec,,2.194,11725.0,N,0.156469266374
Ammonium selenate,,(NH4)2SeO4,7783-21-3,179.04,wh monocl cry,dec,,2.194,11725.0,O,0.357459555844
Ammonium selenate,,(NH4)2SeO4,7783-21-3,179.04,wh monocl cry,dec,,2.194,11725.0,Se,0.441032265733
Ammonium stearate,Ammonium octadecanoate,NH4C18H35O2,1002-89-7,301.509,yel-wh powder,22,,0.89,,C,0.717038261304
Ammonium stearate,Ammonium octadecanoate,NH4C18H35O2,1002-89-7,301.509,yel-wh powder,22,,0.89,,H,0.130376942869
Ammonium stearate,Ammonium octadecanoate,NH4C18H35O2,1002-89-7,301.509,yel-wh powder,22,,0.89,,N,0.0464555207468
Ammonium stearate,Ammonium octadecanoate,NH4C18H35O2,1002-89-7,301.509,yel-wh powder,22,,0.89,,O,0.106129275081
Ammonium sulfate,Mascagnite,(NH4)2SO4,7783-20-2,132.14,wh or brn orth cry,280 dec,,1.77,76.425,H,0.0610227735049
Ammonium sulfate,Mascagnite,(NH4)2SO4,7783-20-2,132.14,wh or brn orth cry,280 dec,,1.77,76.425,N,0.211998651123
Ammonium sulfate,Mascagnite,(NH4)2SO4,7783-20-2,132.14,wh or brn orth cry,280 dec,,1.77,76.425,O,0.484318393165
Ammonium sulfate,Mascagnite,(NH4)2SO4,7783-20-2,132.14,wh or brn orth cry,280 dec,,1.77,76.425,S,0.242660182207
Ammonium tartrate,,(NH4)2C4H4O6,3164-29-2,184.147,wh cry,dec,,1.601,,C,0.260892495749
Ammonium tartrate,,(NH4)2C4H4O6,3164-29-2,184.147,wh cry,dec,,1.601,,H,0.0656824287089
Ammonium tartrate,,(NH4)2C4H4O6,3164-29-2,184.147,wh cry,dec,,1.601,,N,0.152124477349
Ammonium tartrate,,(NH4)2C4H4O6,3164-29-2,184.147,wh cry,dec,,1.601,,O,0.521300598193
Ammonium tellurate,,(NH4)2TeO4,13453-06-0,227.68,wh powder,dec,,3.024,,H,0.0354168749318
Ammonium tellurate,,(NH4)2TeO4,13453-06-0,227.68,wh powder,dec,,3.024,,N,0.123041436521
Ammonium tellurate,,(NH4)2TeO4,13453-06-0,227.68,wh powder,dec,,3.024,,O,0.281092499942
Ammonium tellurate,,(NH4)2TeO4,13453-06-0,227.68,wh powder,dec,,3.024,,Te,0.560449188605
Ammonium tetrafluoroborate,Ammonium fluoroborate,NH4BF4,13826-83-0,104.844,wh powder; orth,487 dec,,1.871,2520.0,B,0.103116016264
Ammonium tetrafluoroborate,Ammonium fluoroborate,NH4BF4,13826-83-0,104.844,wh powder; orth,487 dec,,1.871,2520.0,F,0.724831987183
Ammonium tetrafluoroborate,Ammonium fluoroborate,NH4BF4,13826-83-0,104.844,wh powder; orth,487 dec,,1.871,2520.0,H,0.0384551872844
Ammonium tetrafluoroborate,Ammonium fluoroborate,NH4BF4,13826-83-0,104.844,wh powder; orth,487 dec,,1.871,2520.0,N,0.133596809269
Ammonium thiocyanate,Ammonium rhodanide,NH4SCN,1762-95-4,76.121,col hyg cry,≈149,dec,1.3,18125.0,C,0.157784607268
Ammonium thiocyanate,Ammonium rhodanide,NH4SCN,1762-95-4,76.121,col hyg cry,≈149,dec,1.3,18125.0,H,0.0529652450064
Ammonium thiocyanate,Ammonium rhodanide,NH4SCN,1762-95-4,76.121,col hyg cry,≈149,dec,1.3,18125.0,N,0.368012132285
Ammonium thiocyanate,Ammonium rhodanide,NH4SCN,1762-95-4,76.121,col hyg cry,≈149,dec,1.3,18125.0,S,0.42123801544
Ammonium thiosulfate,Ammonium hyposulfite,(NH4)2S2O3,7783-18-8,148.205,wh cry,150 dec,,1.678,,H,0.0544078369222
Ammonium thiosulfate,Ammonium hyposulfite,(NH4)2S2O3,7783-18-8,148.205,wh cry,150 dec,,1.678,,N,0.18901776133
Ammonium thiosulfate,Ammonium hyposulfite,(NH4)2S2O3,7783-18-8,148.205,wh cry,150 dec,,1.678,,O,0.323863305127
Ammonium thiosulfate,Ammonium hyposulfite,(NH4)2S2O3,7783-18-8,148.205,wh cry,150 dec,,1.678,,S,0.432711096621
Antimony (gray),,Sb,7440-36-0,121.76,silv metal; hex,630.628,1587,6.68,,Sb,1.0
